职位,公司,薪资,年薪,城市,区域,经验,学历,公司性质,公司规模,标签
python,上海坤亿信息技术有限公司,1.2万-1.5万,12,上海,杨浦,3-5年,大专,民营,20-99人,Python
python爬虫工程师,深圳市法本信息技术股份有限公司,1.5万-2.5万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
Python爬虫工程师,探谋网络科技(上海)有限公司,2万-3.5万,12,上海,普陀,3-5年,本科,外商独资,20-99人,Python爬虫框架.MongoDB.MySQL.SQLServer
Python开发（智能汽车-五险一金全额）,中软国际,面议,12,上海,浦东,经验不限,本科,上市公司,10000人以上,Python
Python后端开发工程师,上海媒智科技有限公司,1.5万-2.5万 · 13薪, 13,上海,未知,1-3年,本科,民营,20-99人,Python.后端开发.C++.架构设计.Flask.Django.Celery
Python后端工程师,中富通,1.5万-2.5万 · 13薪, 13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
Python开发（RPA项目+学信大专）,上海锐赢,1万-1.7万,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python开发工程师,北京鼎薪科技有限公司,1.5万-3万 · 16薪, 16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师,上海智匠鑫网络科技有限公司,1.5万-1.7万,12,上海,未知,1-3年,大专,,20-99人,Python web框架.Python并发框架
python开发工程师(A89066),中科创达软件股份有限公司,1.5万-2.5万,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,1万-1.6万,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
python开发工程师,上海晨钦信息科技服务有限公司,1.5万-2.5万,12,上海,浦东,5-10年,本科,上市公司,1000-9999人,Python web框架
Python开发工程师(H7378),中科创达软件股份有限公司,1万-1.5万,12,上海,浦东,经验不限,本科,合资,1000-9999人,Python
python全栈开发工程师,合肥吾恒信息科技有限公司,1.5万-2万,12,上海,嘉定,1-3年,本科,民营,100-299人,
python测试/python开发,软通动力信息技术(集团)股份有限公司,1万-2万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
兼职Python（隐私计算）,好人生(上海)健康科技有限公司,1.5万-2.5万元/月,12,上海,长宁,经验不限,本科,民营,20-99人,Python.隐私计算
Python开发工程师,郑州海奥软件科技有限公司,1.5万-2万,12,上海,徐汇,5-10年,学历不限,民营,100-299人,网络爬虫技术
python开发工程师,软通动力信息技术(集团)股份有限公司,1.1万-1.7万,12,上海,浦东,1-3年,本科,民营,10000人以上,Django
Python开发工程师-上海,上海晨钦信息科技服务有限公司,1.7万-3万,12,上海,浦东,1-3年,本科,上市公司,1000-9999人,后端开发.Linux.ThinkPHP.Oracle.MySQL.SQL Server.软件工程师.Codelgniter
Python开发工程师,上海念空数据科技中心(有限合伙),1万-2万 · 15薪, 15,上海,浦东,1-3年,本科,民营,20-99人,NumPy.Pandas
自动化测试（Java/python/go）,河南扬荣信息科技有限公司,1.4万-1.8万,12,上海,浦东,5-10年,本科,民营,300-499人,Python.Java.接口自动化测试
python爬虫工程师,上海柯林布瑞信息技术有限公司,1.5万-2.5万,12,上海,徐汇,5-10年,本科,民营,100-299人,Python爬虫框架.逆向开发
